AndhraPradesh,Odisha,Party,Won,Leading,Total,Party,Won,Leading,Total
,"Odisha
                         
                             
                                 Assembly Constituencies
                                 147",Bharatiya Janata Party - BJP,78,0,78,Bharatiya Janata Party - BJP,78,0,78
,"Odisha
                         
                             
                                 Assembly Constituencies
                                 147",Biju Janata Dal - BJD,51,0,51,Biju Janata Dal - BJD,51,0,51
,"Odisha
                         
                             
                                 Assembly Constituencies
                                 147",Indian National Congress - INC,14,0,14,Indian National Congress - INC,14,0,14
,"Odisha
                         
                             
                                 Assembly Constituencies
                                 147",Communist Party of India  (Marxist) - CPI(M),1,0,1,Communist Party of India  (Marxist) - CPI(M),1,0,1
,"Odisha
                         
                             
                                 Assembly Constituencies
                                 147",Independent - IND,3,0,3,Independent - IND,3,0,3
"Andhra Pradesh
                         
                             
                                 Assembly Constituencies
                                 175",,Telugu Desam - TDP,135,0,135,Telugu Desam - TDP,135,0,135
"Andhra Pradesh
                         
                             
                                 Assembly Constituencies
                                 175",,Janasena Party - JnP,21,0,21,Janasena Party - JnP,21,0,21
"Andhra Pradesh
                         
                             
                                 Assembly Constituencies
                                 175",,Yuvajana Sramika Rythu Congress Party - YSRCP,11,0,11,Yuvajana Sramika Rythu Congress Party - YSRCP,11,0,11
"Andhra Pradesh
                         
                             
                                 Assembly Constituencies
                                 175",,Bharatiya Janata Party - BJP,8,0,8,Bharatiya Janata Party - BJP,8,0,8
