ArunachalPradesh,Party,Won,Leading,Total,Sikkim,Party,Won,Leading,Total
,Sikkim Krantikari Morcha - SKM,31,0,31,"Sikkim
                         
                             
                                 Assembly Constituencies
                                 32",Sikkim Krantikari Morcha - SKM,31,0,31
,Sikkim Democratic Front - SDF,1,0,1,"Sikkim
                         
                             
                                 Assembly Constituencies
                                 32",Sikkim Democratic Front - SDF,1,0,1
"Arunachal Pradesh
                         
                             
                                 Assembly Constituencies
                                 60",Bharatiya Janata Party - BJP,46,0,46,,Bharatiya Janata Party - BJP,46,0,46
"Arunachal Pradesh
                         
                             
                                 Assembly Constituencies
                                 60",National People's Party - NPEP,5,0,5,,National People's Party - NPEP,5,0,5
"Arunachal Pradesh
                         
                             
                                 Assembly Constituencies
                                 60",Nationalist Congress Party - NCP,3,0,3,,Nationalist Congress Party - NCP,3,0,3
"Arunachal Pradesh
                         
                             
                                 Assembly Constituencies
                                 60",People's Party of Arunachal - PPA,2,0,2,,People's Party of Arunachal - PPA,2,0,2
"Arunachal Pradesh
                         
                             
                                 Assembly Constituencies
                                 60",Indian National Congress - INC,1,0,1,,Indian National Congress - INC,1,0,1
"Arunachal Pradesh
                         
                             
                                 Assembly Constituencies
                                 60",Independent - IND,3,0,3,,Independent - IND,3,0,3
